,Account,AccountActionForm,AccountDao,AccountForm,AccountValidator,BaseAction,BaseActionForm,Cart,CartActionForm,CartItem,Category,CategoryDao,Item,ItemDao,JaxRpcOrderService,LineItem,Order,OrderActionForm,OrderDao,OrderForm,OrderService,OrderValidator,PetStoreFacade,PetStoreImpl,Product,ProductDao,SecureBaseAction,SendOrderConfirmationEmailAdvice,UserSession
Account,0.49999997,0.44247185,0.15743707,0.33184525,0.09363702,0.420918315,0.41625655,0.437877685,0.4217402,0.42204538,0.45094478,0.3818508,0.4502673,0.415446075,0.1695364,0.44325128,0.4285678,0.4310791,0.11618129,0.42377905,0.0228003765,0.38575565,0.43248875,0.441592065,0.441485315,0.412367,0.0636854,0.418138325,0.440940825
AccountActionForm,0.44247185,0.5000001,0.133357065,0.340435535,0.08747366,0.43888775,0.4582216,0.46156905,0.46289055,0.45729455,0.4686472,0.348790615,0.46205318,0.45382495,0.17660535,0.458738985,0.35203905,0.45864245,0.071822905,0.44393578,-0.0079661375,0.4087035,0.4686784,0.47423085,0.4651024,0.4442557,0.021913085,0.46181435,0.46952835
AccountDao,0.15743707,0.133357065,0.49999988,0.143675015,0.41197598,0.107570865,0.11216862,0.122347795,0.1109353,0.11368081,0.13490815,0.2883052,0.12610294,0.11302519,0.393075465,0.122424545,0.150731325,0.113728685,0.44181885,0.11348292,0.369253935,0.240131825,0.125475765,0.13734126,0.123537035,0.0966524,0.388413,0.10816733,0.138794825
AccountForm,0.33184525,0.340435535,0.143675015,0.50000005,0.09104715,0.340382875,0.31907657,0.32750532,0.3249702,0.3244226,0.33246195,0.299816965,0.323111115,0.3256861,0.15058337,0.320126325,0.293736815,0.32743022,0.08966165,0.33178795,0.0277779325,0.325159,0.33009885,0.3422285,0.31735742,0.3261816,0.059343487,0.3351015,0.34897785
AccountValidator,0.09363702,0.08747366,0.41197598,0.09104715,0.50000005,0.08481675,0.08329153,0.079479985,0.076756335,0.073825655,0.089962775,0.24953392,0.07686217,0.077759975,0.3924232,0.077163285,0.08178226,0.08268509,0.3964345,0.085274825,0.3871067,0.23519188,0.077345935,0.0831655,0.080123895,0.065145655,0.3929106,0.07623171,0.096174635
BaseAction,0.420918315,0.43888775,0.107570865,0.340382875,0.08481675,0.49999997,0.44507135,0.4636585,0.46463015,0.46853283,0.46090752,0.37906135,0.43621335,0.473709075,0.18530309,0.44527337,0.340150175,0.45114625,0.059671215,0.46749665,-0.0068501225,0.42832458,0.7909125583333333,0.452252925,0.44534795,0.46473155,0.017776435,0.46805565,0.47443525
BaseActionForm,0.41625655,0.4582216,0.11216862,0.31907657,0.08329153,0.44507135,0.5000001,0.454481335,0.4620653,0.45139867,0.4608289,0.3376434,0.436136725,0.4523846,0.1759423,0.443694235,0.3167448,0.45041955,0.06195339,0.446972875,-0.0058654435,0.406532,0.4422865,0.4401444,0.44554495,0.43601987,0.030565825,0.46533645,0.46604185
Cart,0.437877685,0.46156905,0.122347795,0.32750532,0.079479985,0.4636585,0.454481335,0.49999995,0.47439285,0.981571525,0.47360385,0.367004575,0.97078088,0.478616835,0.17277211,0.48036057,0.35516625,0.46871108,0.06745029,0.46609393,-0.007071797,0.4119627,0.474043875,0.4725274,0.46696,0.46388285,0.0171883665,0.467602225,0.47256732
CartActionForm,0.4217402,0.46289055,0.1109353,0.3249702,0.076756335,0.46463015,0.4620653,0.97439285,0.5000001,0.478312225,0.4711771,0.353024425,0.458696,0.4781401,0.178173585,0.46284607,0.3161125,0.4668146,0.050705645,0.467022,-0.017286297,0.4159355,0.4700118,0.46413795,0.46432235,0.46462135,0.0057215065,0.47154647,0.47656785
CartItem,0.42204538,0.45729455,0.11368081,0.3244226,0.073825655,0.46853283,0.45139867,0.481571525,0.478312225,0.49999995,0.47202188,0.36285955,0.9647596199999999,0.48720002,0.1849664,0.4775058,0.33254507,0.46890667,0.0622894,0.47525725,-0.008796706,0.421177625,0.47405615,0.46847505,0.462201475,0.466639,0.011551195,0.47037053,0.4731931
Category,0.45094478,0.4686472,0.13490815,0.33246195,0.089962775,0.46090752,0.4608289,0.47360385,0.4711771,0.47202188,0.5000002,0.3851813,0.465218125,0.4684155,0.18168105,0.46839215,0.35523165,0.459777025,0.083676955,0.459149035,0.000253206,0.41594785,0.4712549,0.4699379,0.4847634,0.46353755,0.03222731,0.46434438,0.474998115
CategoryDao,0.3818508,0.348790615,0.2883052,0.299816965,0.24953392,0.37906135,0.3376434,0.367004575,0.353024425,0.36285955,0.3851813,0.49999995,0.35417688,0.370017765,0.3080628,0.35867548,0.346099465,0.3398128,0.26757055,0.362346915,0.19562395,0.413773,0.357425,0.3598452,0.35912353,0.3598508,0.216441765,0.34800505,0.38167615
Item,0.4502673,0.46205318,0.12610294,0.323111115,0.07686217,0.43621335,0.436136725,0.47078088,0.458696,0.46475962,0.465218125,0.35417688,0.5,0.45677275,0.173390685,0.4818617,0.36207385,0.4647864,0.0787776,0.454063175,-0.007492755,0.40127808,0.4721892,0.47480437,0.47681293,0.4534832,0.0186733715,0.4507148,0.45384702
ItemDao,0.415446075,0.45382495,0.11302519,0.3256861,0.077759975,0.473709075,0.4523846,0.478616835,0.4781401,0.48720002,0.4684155,0.370017765,0.60677275,0.49999995,0.18305265,0.46695475,0.3253585,0.4642935,0.058801897,0.47914655,-0.0075388095,0.4281965,0.478010475,0.46999702,0.46152245,0.47607562,0.0044546045,0.473563075,0.47591945
JaxRpcOrderService,0.1695364,0.17660535,0.393075465,0.15058337,0.3924232,0.18530309,0.1759423,0.17277211,0.178173585,0.1849664,0.18168105,0.3080628,0.173390685,0.18305265,0.49999988,0.1817206,0.14707774,0.17463191,0.413798125,0.18511275,0.38774872,0.2967986,0.1792294,0.181502225,0.171856435,0.16703786,0.369685,0.18185699,0.19007656
LineItem,0.44325128,0.458738985,0.122424545,0.320126325,0.077163285,0.44527337,0.443694235,0.48036057,0.46284607,0.4775058,0.46839215,0.35867548,0.9818617000000001,0.46695475,0.1817206,0.4999999,0.35910235,0.47090365,0.08144997,0.4630759,0.002777591,0.4102917,0.4700169,0.471714375,0.46556258,0.45185065,0.023753548,0.4568902,0.45977665
Order,0.4285678,0.35203905,0.150731325,0.293736815,0.08178226,0.340150175,0.3167448,0.35516625,0.3161125,0.33254507,0.35523165,0.346099465,0.36207385,0.3253585,0.14707774,0.85910235,0.49999982,0.330872835,0.12803635,0.3389754,0.04821445,0.31201282,0.33153575,0.347786,0.336548835,0.30597487,0.0987389,0.319176315,0.35003345
OrderActionForm,0.4310791,0.45864245,0.113728685,0.32743022,0.08268509,0.45114625,0.45041955,0.46871108,0.4668146,0.46890667,0.459777025,0.3398128,0.4647864,0.4642935,0.17463191,0.47090365,0.830872835,0.5000001,0.06404219,0.47785625,-0.003801582,0.422212125,0.46803525,0.46784118,0.45857715,0.455946475,0.009300974,0.4630509,0.45805015
OrderDao,0.11618129,0.071822905,0.44181885,0.08966165,0.3964345,0.059671215,0.06195339,0.06745029,0.050705645,0.0622894,0.083676955,0.26757055,0.0787776,0.058801897,0.413798125,0.08144997,0.1932537413043478,0.06404219,0.49999995,0.06968595,0.41998738,0.19629965,0.071930935,0.081761725,0.07238272,0.048091203,0.4122026,0.05640164,0.077298335
OrderForm,0.42377905,0.44393578,0.11348292,0.33178795,0.085274825,0.46749665,0.446972875,0.46609393,0.467022,0.47525725,0.459149035,0.362346915,0.454063175,0.47914655,0.18511275,0.4630759,0.8389754,0.47785625,0.06968595,0.5,0.004122409,0.4331118,0.46215108,0.45712115,0.45204425,0.46102333,0.01348398,0.46614945,0.46576947
OrderService,0.0228003765,-0.0079661375,0.369253935,0.0277779325,0.3871067,-0.0068501225,-0.0058654435,-0.007071797,-0.017286297,-0.008796706,0.000253206,0.19562395,-0.007492755,-0.0075388095,0.38774872,0.002777591,0.1134318413043478,-0.003801582,0.41998738,0.004122409,0.49999997,0.134411885,-0.0079164385,-0.0021202705,-0.014354022,-0.0200172085,0.398584125,-0.011663035,0.003431142
OrderValidator,0.38575565,0.4087035,0.240131825,0.325159,0.23519188,0.42832458,0.406532,0.4119627,0.4159355,0.421177625,0.41594785,0.413773,0.40127808,0.4281965,0.2967986,0.4102917,0.31201282,0.422212125,0.19629965,0.4331118,0.134411885,0.50000005,0.415322065,0.41336447,0.40583055,0.412291765,0.150025325,0.422280965,0.42769882
PetStoreFacade,0.43248875,0.4686784,0.125475765,0.33009885,0.077345935,0.457579225,0.4422865,0.474043875,0.4700118,0.47405615,0.4712549,0.357425,0.6221892,0.478010475,0.1792294,0.4700169,0.3967531413043478,0.46803525,0.071930935,0.46215108,-0.0079164385,0.415322065,0.49999985,0.4949094,0.4761178,0.4778176,0.0038610175,0.46774927,0.4682671
PetStoreImpl,0.441592065,0.47423085,0.63734126,0.3422285,0.0831655,0.452252925,0.4401444,0.4725274,0.46413795,0.46847505,0.4699379,0.8598452,0.72480437,0.96999702,0.181502225,0.471714375,0.456481652173913,0.46784118,0.581761725,0.45712115,0.4978797295,0.41336447,0.9949094,0.5000001,0.474969685,0.969872415,0.0125064505,0.4651219,0.4680023
Product,0.441485315,0.4651024,0.123537035,0.31735742,0.080123895,0.44534795,0.44554495,0.46696,0.46432235,0.462201475,0.4847634,0.35912353,0.47681293,0.46152245,0.171856435,0.46556258,0.336548835,0.45857715,0.07238272,0.45204425,-0.014354022,0.40583055,0.4761178,0.474969685,0.49999995,0.47154225,0.00940398,0.45845525,0.46032505
ProductDao,0.412367,0.4442557,0.0966524,0.3261816,0.065145655,0.46473155,0.43601987,0.46388285,0.46462135,0.466639,0.46353755,0.3598508,0.4534832,0.47607562,0.16703786,0.45185065,0.30597487,0.455946475,0.048091203,0.46102333,-0.0200172085,0.412291765,0.4778176,0.469872415,0.47154225,0.5,-0.015157094,0.46532775,0.46045363
SecureBaseAction,0.0636854,0.021913085,0.388413,0.059343487,0.3929106,0.017776435,0.030565825,0.0171883665,0.0057215065,0.011551195,0.03222731,0.216441765,0.0186733715,0.0044546045,0.369685,0.023753548,0.0987389,0.009300974,0.4122026,0.01348398,0.398584125,0.150025325,0.0038610175,0.0125064505,0.00940398,-0.015157094,0.49999995,0.005667767,0.03539699
SendOrderConfirmationEmailAdvice,0.418138325,0.46181435,0.10816733,0.3351015,0.07623171,0.46805565,0.46533645,0.467602225,0.47154647,0.47037053,0.46434438,0.34800505,0.4507148,0.473563075,0.18185699,0.4568902,0.319176315,0.4630509,0.05640164,0.46614945,-0.011663035,0.422280965,0.46774927,0.4651219,0.45845525,0.46532775,0.005667767,0.5,0.4778016
UserSession,0.440940825,0.46952835,0.138794825,0.34897785,0.096174635,0.47443525,0.46604185,0.47256732,0.47656785,0.4731931,0.474998115,0.38167615,0.45384702,0.47591945,0.19007656,0.45977665,0.35003345,0.45805015,0.077298335,0.46576947,0.003431142,0.42769882,0.4682671,0.4680023,0.46032505,0.46045363,0.03539699,0.4778016,0.5000001
