k,class_name,cluster_id
2,Account,0
2,AccountActionForm,0
2,AccountForm,0
2,BaseAction,0
2,BaseActionForm,0
2,Cart,0
2,CartActionForm,0
2,CartItem,0
2,Category,0
2,CategoryDao,0
2,Item,0
2,ItemDao,0
2,LineItem,0
2,Order,0
2,OrderActionForm,0
2,OrderForm,0
2,OrderValidator,0
2,PetStoreFacade,0
2,PetStoreImpl,0
2,Product,0
2,ProductDao,0
2,SendOrderConfirmationEmailAdvice,0
2,UserSession,0
2,AccountDao,1
2,AccountValidator,1
2,JaxRpcOrderService,1
2,OrderDao,1
2,OrderService,1
2,SecureBaseAction,1
3,AccountActionForm,0
3,AccountForm,0
3,BaseAction,0
3,BaseActionForm,0
3,Cart,0
3,CartActionForm,0
3,CartItem,0
3,Category,0
3,CategoryDao,0
3,Item,0
3,ItemDao,0
3,OrderValidator,0
3,PetStoreFacade,0
3,PetStoreImpl,0
3,Product,0
3,ProductDao,0
3,SendOrderConfirmationEmailAdvice,0
3,UserSession,0
3,AccountDao,1
3,AccountValidator,1
3,JaxRpcOrderService,1
3,OrderDao,1
3,OrderService,1
3,SecureBaseAction,1
3,Account,2
3,LineItem,2
3,Order,2
3,OrderActionForm,2
3,OrderForm,2
4,Account,0
4,LineItem,0
4,Order,0
4,OrderActionForm,0
4,OrderForm,0
4,AccountDao,1
4,AccountValidator,1
4,JaxRpcOrderService,1
4,OrderDao,1
4,OrderService,1
4,SecureBaseAction,1
4,CategoryDao,2
4,ItemDao,2
4,PetStoreFacade,2
4,PetStoreImpl,2
4,ProductDao,2
4,AccountActionForm,3
4,AccountForm,3
4,BaseAction,3
4,BaseActionForm,3
4,Cart,3
4,CartActionForm,3
4,CartItem,3
4,Category,3
4,Item,3
4,OrderValidator,3
4,Product,3
4,SendOrderConfirmationEmailAdvice,3
4,UserSession,3
5,AccountDao,0
5,AccountValidator,0
5,JaxRpcOrderService,0
5,OrderDao,0
5,OrderService,0
5,SecureBaseAction,0
5,Account,1
5,AccountActionForm,1
5,AccountForm,1
5,BaseAction,1
5,BaseActionForm,1
5,CartActionForm,1
5,Category,1
5,OrderValidator,1
5,Product,1
5,SendOrderConfirmationEmailAdvice,1
5,UserSession,1
5,LineItem,2
5,Order,2
5,OrderActionForm,2
