k,score
2,0.3680623497103534
3,0.11790099889204929
4,0.11689247255728172
5,0.1297360424024209
6,0.13495259820091926
7,0.12916864611178341
8,0.14739982607752344
9,0.1108370995190984
10,0.1403843691241096
11,0.0717802197922145
12,0.046148559677683006
13,0.11510652744888426
14,0.09827024608723003
15,0.11069454393473065
16,0.09156923015796349
17,0.06020286539852443
18,0.09710151231773691
19,0.08378537639938438
20,0.08284532518007598
21,0.028082987963539665
22,-0.008604318988497337
23,0.02602593838279599
24,-0.009464698105554946
25,-0.018740622728049713
26,0.0125928659990759
27,-0.030829194583137952
28,-0.002008004630853764
