filename,class,attributes,methods
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/OrderDao.java,OrderDao,[],[List getOrdersByUsername(String username); Order getOrder(int orderId); void insertOrder(Order order)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/AccountDao.java,AccountDao,[],"[Account getAccount(String username); Account getAccount(String username, String password); void insertAccount(Account account); void updateAccount(Account account); List getUsernameList()]"
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/CategoryDao.java,CategoryDao,[],[List getCategoryList(); Category getCategory(String categoryId)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ProductDao.java,ProductDao,[],[List getProductListByCategory(String categoryId); List searchProductList(String keywords); Product getProduct(String productId)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ItemDao.java,ItemDao,[],[void updateQuantity(Order order); boolean isItemInStock(String itemId); List getItemListByProduct(String productId); Item getItem(String itemId)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/OracleSequenceDao.java,OracleSequenceDao,[],[int getNextId(String name)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/Sequence.java,Sequence,[String name; int nextId],[String getName(); void setName(String name); int getNextId(); void setNextId(int nextId)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/SqlMapAccountDao.java,SqlMapAccountDao,[],"[Account getAccount(String username); Account getAccount(String username, String password); void insertAccount(Account account); void updateAccount(Account account); List getUsernameList()]"
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/SqlMapCategoryDao.java,SqlMapCategoryDao,[],[List getCategoryList(); Category getCategory(String categoryId)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/SqlMapItemDao.java,SqlMapItemDao,[],[void updateQuantity(Order order); boolean isItemInStock(String itemId); List getItemListByProduct(String productId); Item getItem(String itemId)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/SqlMapSequenceDao.java,SqlMapSequenceDao,[],[int getNextId(String name)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/SqlMapOrderDao.java,SqlMapOrderDao,[SqlMapSequenceDao sequenceDao],[void setSequenceDao(SqlMapSequenceDao sequenceDao); List getOrdersByUsername(String username); Order getOrder(int orderId); void insertOrder(Order order)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/SqlMapProductDao.java,SqlMapProductDao,[],[List getProductListByCategory(String categoryId); Product getProduct(String productId); List searchProductList(String keywords)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ibatis/MsSqlOrderDao.java,MsSqlOrderDao,[],[void insertOrder(Order order)]
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/ViewCategoryAction.java,ViewCategoryAction,[],"[ActionForward execute(ActionMapping mapping, ActionForm form, HttpServletRequest request, HttpServletResponse response)]"
../monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/RemoveItemFromCartAction.java,RemoveItemFromCartAction,[],"[ActionForward execute(ActionMapping mapping, ActionForm form, HttpServletRequest request, HttpServletResponse response)]"
