filename,class,attributes,methods
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/OrderDao.java","OrderDao","[]","[List getOrdersByUsername; Order getOrder; void insertOrder]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/AccountDao.java","AccountDao","[]","[Account getAccount; Account getAccount; void insertAccount; void updateAccount; List getUsernameList]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/CategoryDao.java","CategoryDao","[]","[List getCategoryList; Category getCategory]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ProductDao.java","ProductDao","[]","[List getProductListByCategory; List searchProductList; Product getProduct]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/dao/ItemDao.java","ItemDao","[]","[void updateQuantity; boolean isItemInStock; List getItemListByProduct; Item getItem]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/OrderActionForm.java","OrderActionForm","[List CARD_TYPE_LIST; Order order; boolean shippingAddressRequired; boolean confirmed; List cardTypeList]","[new ArrayList; public OrderActionForm; new Order; boolean isConfirmed; void setConfirmed; Order getOrder; void setOrder; boolean isShippingAddressRequired; void setShippingAddressRequired; List getCreditCardTypes; void doValidate; void reset]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/BaseAction.java","BaseAction","[PetStoreFacade petStore; WebApplicationContext wac]","[void setServlet; PetStoreFacade getPetStore]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/CartActionForm.java","CartActionForm","[Cart cart; String workingItemId]","[new Cart; Cart getCart; void setCart; String getWorkingItemId; void setWorkingItemId; void reset]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/BaseActionForm.java","BaseActionForm","[ArrayList errorList; return actionErrors]","[ActionErrors validate; new ArrayList; new ActionErrors; void doValidate; void addErrorIfStringEmpty]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/AccountActionForm.java","AccountActionForm","[String VALIDATE_EDIT_ACCOUNT; String VALIDATE_NEW_ACCOUNT; ArrayList LANGUAGE_LIST; String username; String password; String repeatedPassword; List languages; List categories; String validate; String forwardAction; Account account; PagedListHolder myList]","[new ArrayList; public AccountActionForm; PagedListHolder getMyList; void setMyList; String getForwardAction; void setForwardAction; String getUsername; void setUsername; String getPassword; void setPassword; String getRepeatedPassword; void setRepeatedPassword; Account getAccount; void setAccount; List getLanguages; void setLanguages; List getCategories; void setCategories; String getValidate; void setValidate; void doValidate; void reset]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/struts/SecureBaseAction.java","SecureBaseAction","[String query]","[ActionForward execute; return doExecute; ActionForward doExecute]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/spring/UserSession.java","UserSession","[Account account; PagedListHolder myList]","[public UserSession; Account getAccount; void setMyList; PagedListHolder getMyList]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/spring/AccountForm.java","AccountForm","[Account account; boolean newAccount; String repeatedPassword]","[public AccountForm; public AccountForm; new Account; Account getAccount; boolean isNewAccount; void setRepeatedPassword; String getRepeatedPassword]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/web/spring/OrderForm.java","OrderForm","[Order order; boolean shippingAddressRequired; boolean confirmed]","[new Order; Order getOrder; void setShippingAddressRequired; boolean isShippingAddressRequired; void setConfirmed; boolean isConfirmed]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/service/JaxRpcOrderService.java","JaxRpcOrderService","[OrderService orderService]","[void onInit; Order getOrder]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/domain/CartItem.java","CartItem","[Item item; int quantity; boolean inStock; return 0]","[boolean isInStock; void setInStock; Item getItem; void setItem; int getQuantity; void setQuantity; double getTotalPrice; void incrementQuantity]"
"/home/heros/Documents/midas/monoliths/jPetStore/src/main/java/org/springframework/samples/jpetstore/domain/Product.java","Product","[String productId; String categoryId; String name; String description]","[String getProductId; void setProductId; String getCategoryId; void setCategoryId; String getName; void setName; String getDescription; void setDescription; String toString; return getName]"
